Sample label,Sample name,Location,Source type,Reservoir temperature (°C),pH,EC (microS/cm),K (mg/l),Na (mg/l),Boron (mg/l),SiO2 (mg/l),Cl (mg/l),Temperature source,Dataset
1,Derman,Balikesir,Thermal spring,103.0,8.8,1160.0,4.0,227.0,1.4,50.0,62.0,Calculated,Training
2,Gönen,Balikesir,Thermal spring,146.0,8.5,2000.0,21.0,430.0,7.1,132.0,265.0,Calculated,Training
3,Samli,Balikesir,Thermal spring,107.0,9.0,1440.0,4.0,230.0,2.0,56.0,845.0,Calculated,Training
4,Bozören,Balikesir,Thermal spring,67.0,7.2,960.0,4.0,40.0,0.15,19.0,33.0,Calculated,Training
5,Gümeli,Balikesir,Thermal spring,88.0,7.5,580.0,5.0,23.0,0.2,34.0,13.0,Calculated,Training
6,Kaynarca,Bursa,Thermal spring,91.0,6.9,1349.0,18.0,198.0,1.8,38.0,8.0,Calculated,Training
7,Zeynine,Bursa,Thermal spring,87.0,7.1,558.0,5.0,36.0,0.0,33.0,7.0,Calculated,Training
8,Dümbüldek,Bursa,Thermal spring,131.0,6.8,1900.0,72.0,440.0,1.7,96.0,62.0,Calculated,Training
9,Esref Efendi,Bursa,Thermal spring,126.0,7.0,1215.0,15.0,168.0,1.9,87.0,9.0,Calculated,Training
10,Küplüce,Bursa,Thermal spring,87.0,7.1,582.0,4.0,25.0,0.2,34.0,3.0,Calculated,Training
11,Zeynine2,Bursa,Thermal spring,90.0,7.0,557.0,4.0,23.0,0.3,36.0,3.0,Calculated,Training
12,Horhor,Bursa,Thermal spring,88.0,7.1,568.0,4.0,24.0,0.2,34.0,3.0,Calculated,Training
13,Karacakaya,Bursa,Thermal spring,50.0,6.9,400.0,2.0,20.0,0.0,11.0,5.0,Calculated,Training
14,Ilicaksu,Bursa,Thermal spring,91.0,7.4,490.0,3.0,24.0,0.0,37.0,9.0,Calculated,Training
15,Sadag,Bursa,Thermal spring,118.0,7.1,1500.0,7.0,220.0,0.0,72.0,29.0,Unknown,Training
